zurich_city_01_c/left/000001.npz,482,203,585,243,bus
zurich_city_01_c/left/000001.npz,150,214,211,256,car
zurich_city_01_c/left/000001.npz,193,220,264,267,car
zurich_city_01_c/left/000001.npz,294,217,315,239,car
zurich_city_01_c/left/000001.npz,1,229,210,358,car
zurich_city_01_c/left/000001.npz,301,223,372,284,car
zurich_city_01_c/left/000001.npz,557,204,575,269,pedestrian
zurich_city_01_c/left/000002.npz,0,231,213,350,car
zurich_city_01_c/left/000002.npz,561,204,581,267,pedestrian
zurich_city_01_c/left/000002.npz,485,203,592,240,bus
zurich_city_01_c/left/000002.npz,149,215,211,256,car
zurich_city_01_c/left/000002.npz,195,219,264,268,car
zurich_city_01_c/left/000002.npz,302,225,374,284,car
zurich_city_01_c/left/000003.npz,196,218,266,267,car
zurich_city_01_c/left/000003.npz,486,203,594,241,bus
zurich_city_01_c/left/000003.npz,303,224,371,278,car
zurich_city_01_c/left/000003.npz,0,228,214,350,car
zurich_city_01_c/left/000003.npz,148,215,209,255,car
zurich_city_01_c/left/000003.npz,562,202,586,271,pedestrian
zurich_city_01_c/left/000004.npz,199,219,269,268,car
zurich_city_01_c/left/000004.npz,0,227,214,349,car
zurich_city_01_c/left/000004.npz,149,215,211,254,car
zurich_city_01_c/left/000004.npz,302,224,371,279,car
zurich_city_01_c/left/000004.npz,488,205,598,240,bus
zurich_city_01_c/left/000004.npz,571,202,593,269,pedestrian
zurich_city_01_c/left/000005.npz,0,227,215,342,car
zurich_city_01_c/left/000005.npz,301,223,370,278,car
zurich_city_01_c/left/000005.npz,149,214,211,256,car
zurich_city_01_c/left/000005.npz,198,219,269,265,car
zurich_city_01_c/left/000005.npz,573,201,596,272,pedestrian
zurich_city_01_c/left/000005.npz,489,204,601,240,bus
zurich_city_01_c/left/000005.npz,108,214,136,228,car
zurich_city_01_c/left/000006.npz,490,204,606,240,bus
zurich_city_01_c/left/000006.npz,198,217,272,264,car
zurich_city_01_c/left/000006.npz,1,228,219,348,car
zurich_city_01_c/left/000006.npz,148,213,216,254,car
zurich_city_01_c/left/000006.npz,303,224,370,279,car
zurich_city_01_c/left/000006.npz,576,201,602,272,pedestrian
zurich_city_01_c/left/000006.npz,107,214,135,228,car
zurich_city_01_c/left/000007.npz,493,204,611,241,bus
zurich_city_01_c/left/000007.npz,0,229,218,342,car
zurich_city_01_c/left/000007.npz,148,215,213,254,car
zurich_city_01_c/left/000007.npz,302,223,370,277,car
